Date,Open,High,Low,Close,Adj Close,Volume
2021-05-01,304.000000,306.980011,208.000000,236.539993,236.539993,164798200
2021-06-01,238.509995,261.149994,210.770004,253.300003,253.300003,93093900
2021-07-01,251.089996,256.989990,213.220001,236.580002,236.580002,72963800
2021-08-01,237.279999,294.000000,226.910004,259.000000,259.000000,103547600
2021-09-01,260.309998,280.609985,225.039993,227.479996,227.479996,69704600
2021-10-01,232.889999,328.480011,224.509995,319.420013,319.420013,130137400
2021-11-01,324.769989,368.899994,299.149994,315.000000,315.000000,116504400
2021-12-01,318.600006,323.000000,231.770004,252.369995,252.369995,90540600
2022-01-01,256.269989,261.630005,224.880005,232.330002,232.330002,20741300
2022-01-07,233.630005,238.479996,227.589996,232.330002,232.330002,3311993
